Субъект;Число гостиниц, 2018;Число гостиниц, 2019;Число гостиниц, 2020;Число гостиниц, 2021;Число гостиниц, 2022;Число гостиниц, 2023;Число мест в гостиницах, 2018;Число мест в гостиницах, 2019;Число мест в гостиницах, 2020;Число мест в гостиницах, 2021;Число мест в гостиницах, 2022;Число мест в гостиницах, 2023;Число хостелов, 2018;Число хостелов, 2019;Число хостелов, 2020;Число хостелов, 2021;Число хостелов, 2022;Число хостелов, 2023;Число мест в хостелах, 2018;Число мест в хостелах, 2019;Число мест в хостелах, 2020;Число мест в хостелах, 2021;Число мест в хостелах, 2022;Число мест в хостелах, 2023;Число санаторно-курортных организаций, 2018;Число санаторно-курортных организаций, 2019;Число санаторно-курортных организаций, 2020;Число санаторно-курортных организаций, 2021;Число санаторно-курортных организаций, 2022;Число санаторно-курортных организаций, 2023;Число мест в санаторно-курортных организациях, 2018;Число мест в санаторно-курортных организациях, 2019;Число мест в санаторно-курортных организациях, 2020;Число мест в санаторно-курортных организациях, 2021;Число мест в санаторно-курортных организациях, 2022;Число мест в санаторно-курортных организациях, 2023
Ленинградская область;122;134;110;136;137;136;9841;12525;7857;10455;10527;11620;9;10;9;24;26;31;675;1523;446;2671;2877;3981;21;24;21;22;20;21;3142;3681;3236;3094;2695;3324
Мурманская область;70;69;77;84;87;106;5008;4457;4873;5197;5553;6239;17;12;21;19;24;29;814;642;960;934;1082;1676;9;8;8;8;6;6;1092;1034;1052;1189;928;928
Новгородская область;55;55;63;57;57;64;3792;4002;4282;4236;4551;5032;6;6;9;9;11;12;439;417;416;523;617;711;12;12;13;13;11;12;2032;2032;2265;2245;1890;1950
Псковская область;63;64;67;67;74;76;3972;4040;4000;4188;4532;4332;8;10;9;8;9;6;221;250;267;219;241;177;5;5;8;7;7;7;1422;1392;1879;1652;1664;…1
г. Санкт-Петербург;706;644;518;557;544;554;71723;67923;68766;72563;74071;81255;186;126;95;118;137;193;8833;7522;8653;14753;20072;31659;24;23;21;22;24;24;7119;6935;6490;6013;7094;5503
Республика Адыгея;33;41;39;42;47;57;1345;1704;1696;1962;2449;3355;2;3;1;0;0;2;…1;…1;…1;0;0;…1;4;4;4;4;4;4;517;517;517;485;485;485
Республика Калмыкия;31;33;26;27;28;32;963;948;899;850;873;1009;2;2;1;0;0;0;…1;…1;…1;0;0;0;2;2;1;1;1;1;…1;…1;…1;…1;…1;…1
Республика Крым;352;365;429;518;514;561;31849;34616;39776;45810;44607;47798;27;27;28;24;28;30;1144;2109;1493;1437;1357;1393;113;109;113;109;103;103;43885;43592;44151;44054;41950;43410
Краснодарский край;1369;1369;1443;1662;1627;1896;151687;149634;165501;184431;183991;219300;94;118;94;94;99;100;6291;9099;6392;7102;8140;7151;186;206;192;202;191;189;98378;99231;99538;102948;101771;105681
Астраханская область;113;111;114;113;123;128;6121;6188;6156;6410;7053;7191;6;5;4;4;5;6;136;102;76;84;134;149;3;3;3;3;3;3;…1;…1;…1;…1;…1;…1
